date,time_point,session,group,subject,location,sick_severity,heat,test_day,test_tp,rank,observer,keeper,task,trial_session,trial_time_point,code,in_leipzig,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,1,1,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,2,2,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,1,1,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,1,1,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,2,2,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,2,2,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,3,3,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,3,3,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,4,4,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,4,4,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,5,5,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,5,5,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,6,6,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,6,6,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,7,7,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,8,8,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,7,7,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,8,8,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,9,9,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,9,9,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,10,10,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,11,11,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,10,10,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,11,11,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,causality,12,12,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,inference,12,12,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,3,3,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,4,4,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,gaze_following,1,1,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,gaze_following,2,2,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,1,1,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,1,1,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,2,2,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,2,2,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,3,3,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,3,3,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,4,4,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,4,4,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,5,5,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,5,5,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,6,6,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,6,6,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,7,7,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,8,8,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,7,7,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,8,8,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,9,9,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,9,9,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,10,10,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,11,11,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,10,10,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,11,11,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,causality,12,12,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,inference,12,12,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,gaze_following,3,3,1,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,yaro,sleep_room,0,yes,no,0,5,yes,martina,gaze_following,4,4,0,20130418,m,mother,7.337440109514032,7.337440109514032,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,gaze_following,1,1,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,gaze_following,2,2,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,1,1,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,1,1,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,2,2,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,2,2,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,3,3,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,3,3,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,4,4,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,4,4,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,5,5,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,5,5,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,6,6,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,6,6,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,7,7,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,8,8,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,7,7,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,8,8,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,9,9,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,9,9,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,10,10,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,11,11,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,10,10,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,11,11,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,causality,12,12,1,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,inference,12,12,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,gaze_following,3,3,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,lexi,sleep_room,0,no,no,0,1,yes,martina,gaze_following,4,4,0,20120522,f,hand,20.933607118412045,8.243668720054757,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,gaze_following,1,1,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,gaze_following,2,2,0,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,inference,1,1,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,causality,1,1,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,inference,2,2,0,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,causality,2,2,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,inference,3,3,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,causality,3,3,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,causality,4,4,1,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,gaze_following,3,3,0,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200819,1,1,bonobo,luiza,sleep_room,0,yes,no,0,3,no,martina,gaze_following,4,4,0,20050127,f,mother,15.55920602327173,15.55920602327173,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,1,5,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,gaze_following,2,6,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,1,1,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,2,2,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,3,3,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,4,4,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,5,5,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,6,6,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,7,7,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,8,8,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,9,9,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,10,10,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,11,11,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,quantity,12,12,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_place,1,1,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_place,2,2,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_place,3,3,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_place,4,4,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_feature,1,1,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_feature,2,2,1,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_feature,3,3,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
20200820,1,2,bonobo,jasongo,sleep_room,0,yes,no,0,7,yes,martina,switching_feature,4,4,0,20110524,m,mother,30.04791238877481,9.240246406570842,no,0,0,no,0,0,6.905333333333333
